ISO3,Year,flowDesc,AFG_trade,ARG_trade,AUS_trade,BEL_trade,BGD_trade,CAN_trade,CHN_trade,DEU_trade,ESP_trade,FRA_trade,GBR_trade,HRV_trade,IND_trade,IRN_trade,IRQ_trade,ISR_trade,ITA_trade,JPN_trade,LKA_trade,PAK_trade,PRT_trade,RUS_trade,SAU_trade,SWE_trade,USA_trade,Barley_Area_harvested,Barley_Production,Barley_Yield,"Hen_eggs_in_shell,_fresh_Laying","Hen_eggs_in_shell,_fresh_Production","Hen_eggs_in_shell,_fresh_Yield","Hen_eggs_in_shell,_fresh_Yield/Carcass_Weight","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Production","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Yield/Carcass_Weight","Meat_of_chickens,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_chickens,_fresh_or_chilled_Production","Meat_of_chickens,_fresh_or_chilled_Yield/Carcass_Weight","Meat_of_sheep,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_sheep,_fresh_or_chilled_Production","Meat_of_sheep,_fresh_or_chilled_Yield/Carcass_Weight","Onions_and_shallots,_dry_(excluding_dehydrated)_Area_harvested","Onions_and_shallots,_dry_(excluding_dehydrated)_Production","Onions_and_shallots,_dry_(excluding_dehydrated)_Yield","Other_vegetables,_fresh_n.e.c._Area_harvested","Other_vegetables,_fresh_n.e.c._Production","Other_vegetables,_fresh_n.e.c._Yield",Potatoes_Area_harvested,Potatoes_Production,Potatoes_Yield,Tomatoes_Area_harvested,Tomatoes_Production,Tomatoes_Yield,Wheat_Area_harvested,Wheat_Production,Wheat_Yield,"Total Damage, Adjusted ('000 US$)",No. Affected,Total Deaths,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)",Rural_population,Total_Population_Both_sexes,Total_Population_Female,Total_Population_Male,Urban_population,Current_account_balance_(%_of_GDP),External_debt_stocks_(%_of_GNI),"Foreign_direct_investment,_net_inflows_(%_of_GDP)",Gini_index,"Life_expectancy_at_birth,_female_(years)","Life_expectancy_at_birth,_male_(years)","Life_expectancy_at_birth,_total_(years)",Population_growth_(annual_%),Poverty_headcount_ratio_at_$3.00_a_day_(2021_PPP)_(%_of_population),"Unemployment,_total_(%_of_total_labor_force)_(modeled_ILO_estimate)",Urban_population_(%_of_total_population)
ABW,2000,Export,,56184.0,13358.0,1271777.0,,90989.0,33045.0,2812436.0,2956000.0,10061.0,553626.0,,,,,145.0,,10173.0,,,28235.0,626.0,,1173.0,9962911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2000,Import,,4335972.0,566385.0,1248464.0,,7671112.0,4634285.0,8603324.0,5721715.0,7334190.0,42525726.0,,1218101.0,,,301240.0,4081061.0,22293279.0,,40251.0,91989.0,390190.0,34168.0,2567039.0,443879806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2001,Export,,45.0,185872.0,,,32877.0,59263.0,77508.0,176201.0,24994.0,659151.0,,28.0,,,,55045.0,,,,,339017.0,,2034.0,7999134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2001,Import,,4182681.0,546827.0,1270056.0,,5431899.0,5825542.0,9089273.0,6130469.0,4792458.0,58038568.0,,801251.0,4844.0,,374737.0,5284570.0,18772273.0,,36983.0,207615.0,153106.0,38559.0,1872933.0,457211550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2002,Export,,42341.0,492788.0,3257.0,,55352.0,99251.0,182419.0,6709.0,20620.0,745911.0,,1894.0,,,,44078.0,12648.0,,,1777.0,2235.0,,1464.0,15634279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2002,Import,,3193581.0,335486.0,2989363.0,,5329933.0,3159497.0,6529234.0,4927670.0,6137609.0,48190518.0,,1334302.0,109229.0,,362860.0,5902000.0,19851916.0,,,101061.0,123374.0,12721.0,4475329.0,459570527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2003,Export,,76564.0,1648.0,519302.0,,65168.0,21788.0,218369.0,1105749.0,552637.0,1034285.0,,2793.0,1346.0,,78972.0,698.0,1084.0,,,6983.0,288749.0,,,7551206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2003,Import,,5062285.0,402777.0,277620.0,,4446374.0,2377843.0,19388508.0,4836927.0,9440089.0,23665882.0,,1037732.0,12832.0,,2673648.0,5354307.0,21376452.0,,39056.0,131268.0,51240.0,64408.0,4324184.0,464980818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2004,Export,,,82123.0,629039.0,,120989.0,38073.0,57380.0,166905.0,12665.0,1098223.0,,45704.0,,,42821.0,,,,,,,,22458.0,8294536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2004,Import,,5042095.0,729665.0,327453.0,,4895218.0,5221318.0,3645190.0,4509832.0,7855765.0,22275809.0,,1981592.0,410732.0,,279469.0,4780050.0,20711273.0,,42844.0,61274.0,16788.0,44972.0,2633262.0,483500906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2005,Export,,598.0,,3871500.0,,45777.0,46146.0,17439.0,69375.0,,632701.0,,13269.0,,,,,2080.0,,,13935.0,491.0,,1474.0,11937890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2005,Import,,8115512.0,808532.0,1829664.0,,4607195.0,7928166.0,5331653.0,8162551.0,12064773.0,39465642.0,,1387830.0,60684.0,,219512.0,4679981.0,20095517.0,,20466.0,46702.0,69332.0,36403.0,1576050.0,572968689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2006,Export,,101.0,2634.0,1500709.0,,25737.0,15978.0,106797.0,8069.0,41665.0,1076808.0,,512.0,,,,101.0,7821.0,,,,20914.0,,125.0,11629444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2006,Import,,8328718.0,419269.0,1042367.0,,6033144.0,10913693.0,5277609.0,6801065.0,6945447.0,38446773.0,,853084.0,35597.0,,1222716.0,5307835.0,24164817.0,,39816.0,106475.0,18474.0,106409.0,1571977.0,560740892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2007,Export,,,,,,73877.0,134939.0,91163.0,36932.0,,657898.0,,3017.0,,,,8380.0,2041.0,,,,29813.0,,47846.0,10998373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2007,Import,,5259138.0,898064.0,762773.0,,7174983.0,14949622.0,4079017.0,18086308.0,7902356.0,52385997.0,,1704244.0,36801.0,,908965.0,6390741.0,19092750.0,,42241.0,40334.0,25017.0,223.0,866210.0,605482864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2008,Export,,12097.0,216.0,266591.0,25140.0,132299.0,177531.0,75472.0,127595.0,38763.0,28203.0,,,,,19789.0,50814.0,,,,4.0,,,92.0,13258529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2008,Import,,4387918.0,331739.0,1435136.0,,6113243.0,13304859.0,2783603.0,6520938.0,7873955.0,51398769.0,,1926152.0,112346.0,,851053.0,14943727.0,23908919.0,,53911.0,78003.0,17159.0,60627.0,692344.0,588877574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2009,Export,,68.0,,322884.0,,14864.0,123537.0,6532.0,34502.0,451750.0,501331.0,,38191.0,,,,4593.0,4185.0,,,,,,384.0,12882954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2009,Import,,4037245.0,,1542554.0,,5543155.0,16069667.0,6912477.0,6118623.0,7654987.0,54052047.0,,2391328.0,,,,25797171.0,16124135.0,,,,,,1938825.0,542784715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2010,Export,,3131.0,,279450.0,,13018.0,157493.0,25939.0,260589.0,207946.0,359239.0,,97945.0,,,,26376.0,241.0,,,,,,72.0,7519271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2010,Import,,3808179.0,,1609749.0,,5317824.0,14917143.0,4781112.0,5260771.0,9096455.0,62948649.0,,2969792.0,,,,4429672.0,14981943.0,,,,,,1322223.0,535395868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2011,Export,,230.0,,262003.0,,63480.0,362711.0,2931.0,277939.0,407134.0,522131.0,,41737.0,,,,967.0,35825.0,,,,,,29839.0,15454031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2011,Import,,2330322.0,,952355.0,,5797380.0,21427994.0,5742790.0,7819077.0,16624512.0,56678913.0,,1875696.0,,,,5827129.0,13645168.0,,,,,,3907434.0,612568615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2013,Export,,,,142254.0,,,137797.0,,536821.0,150728.0,12274.0,,,,,,,,,,,,,,21404954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2013,Import,,,,774721.0,,,32349645.0,,13900681.0,14291663.0,88165499.0,,,,,,,,,,,,,,646135841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2014,Export,,,,,,,652394.0,,437343.0,786689.0,122497.0,,,,,,,,,,,,,,18289853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2014,Import,,,,,,,30933937.0,,18604949.0,8890003.0,40796813.0,,,,,,,10025351.0,,,,,,,718141342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2015,Export,,,,40922.0,,,649703.0,,,,45879.0,,,,,,,,,,,,,,5601879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2015,Import,,,,2587242.0,,,24112407.0,,,6298325.0,44892367.0,,,,,,,9805289.0,,,,,,1066617.0,628656553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2016,Export,,,,68574.26,,,780577.31,,,32917.3,,,,,,,,,,,,,,,1908570.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2016,Import,,,,476502.52,,,17022453.3,,,1618671.37,21640466.29,,,,,,,8442236.52,,,,,,287868.0,488900221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2017,Export,,,,,,,,,,,,,,,,,,,,,,,,,18898563.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2017,Import,,,,,,,27180790.19,,16883187.73,,,,,,,,,,,,,,,,662804832.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2018,Export,,,,,,,,,,,,,,,,,,,,,,,,,20226306.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2018,Import,,,,,,,35065642.45,,17055365.38,,,,,,,,,,,,,,,,713508859.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2019,Export,,,,,,,,,,,,,,,,,,,,,,,,,24510023.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2019,Import,,,,,,,43224043.31,,21185226.7,,,,,,,,,,,,,,,,698274865.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2020,Export,,,,,,,,,,,,,,,,,,,,,,,,,19659185.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2020,Import,,,,,,,34048101.15,,8759469.552,,,,,,,,,,,,,,,,492931273.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2021,Export,,,,,,,,,,,,,,,,,,,,,,,,,20301331.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2021,Import,,,,,,,39232730.73,,24414319.21,,,,,,,,,,,,,,,,594199130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2022,Export,,,,,,,,,,,,,,,,,,,,,,,,,18460112.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2022,Import,,,,,,,53546516.56,,10056224.44,,18443309.8,,,,,,,,,,,,,,741951056.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2023,Export,,,,,,,,,,,,,,,,,,,,,,,,,17609490.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2023,Import,,,,,,,66761254.91,,15790004.25,,13006668.53,,,,,,,,,,,,,,774701949.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
