ISO3,Year,Barley_Area_harvested,Barley_Production,Barley_Yield,"Hen_eggs_in_shell,_fresh_Laying","Hen_eggs_in_shell,_fresh_Production","Hen_eggs_in_shell,_fresh_Yield","Hen_eggs_in_shell,_fresh_Yield/Carcass_Weight","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Production","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Yield/Carcass_Weight","Meat_of_chickens,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_chickens,_fresh_or_chilled_Production","Meat_of_chickens,_fresh_or_chilled_Yield/Carcass_Weight","Meat_of_sheep,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_sheep,_fresh_or_chilled_Production","Meat_of_sheep,_fresh_or_chilled_Yield/Carcass_Weight","Onions_and_shallots,_dry_(excluding_dehydrated)_Area_harvested","Onions_and_shallots,_dry_(excluding_dehydrated)_Production","Onions_and_shallots,_dry_(excluding_dehydrated)_Yield","Other_vegetables,_fresh_n.e.c._Area_harvested","Other_vegetables,_fresh_n.e.c._Production","Other_vegetables,_fresh_n.e.c._Yield",Potatoes_Area_harvested,Potatoes_Production,Potatoes_Yield,Tomatoes_Area_harvested,Tomatoes_Production,Tomatoes_Yield,Wheat_Area_harvested,Wheat_Production,Wheat_Yield,"Total Damage, Adjusted ('000 US$)",No. Affected,Total Deaths,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)",Rural_population,Total_Population_Both_sexes,Total_Population_Female,Total_Population_Male,Urban_population,Current_account_balance_(%_of_GDP),External_debt_stocks_(%_of_GNI),"Foreign_direct_investment,_net_inflows_(%_of_GDP)",Gini_index,"Life_expectancy_at_birth,_female_(years)","Life_expectancy_at_birth,_male_(years)","Life_expectancy_at_birth,_total_(years)",Population_growth_(annual_%),Poverty_headcount_ratio_at_$3.00_a_day_(2021_PPP)_(%_of_population),"Unemployment,_total_(%_of_total_labor_force)_(modeled_ILO_estimate)",Urban_population_(%_of_total_population),AFG_Export,AFG_Import,ARG_Export,ARG_Import,AUS_Export,AUS_Import,BEL_Export,BEL_Import,BGD_Export,BGD_Import,CAN_Export,CAN_Import,CHN_Export,CHN_Import,DEU_Export,DEU_Import,ESP_Export,ESP_Import,FRA_Export,FRA_Import,GBR_Export,GBR_Import,HRV_Export,HRV_Import,IND_Export,IND_Import,IRN_Export,IRN_Import,IRQ_Export,IRQ_Import,ISR_Export,ISR_Import,ITA_Export,ITA_Import,JPN_Export,JPN_Import,LKA_Export,LKA_Import,PAK_Export,PAK_Import,PRT_Export,PRT_Import,RUS_Export,RUS_Import,SAU_Export,SAU_Import,SWE_Export,SWE_Import,USA_Export,USA_Import
AFG,2008,236000.0,333000.0,1411.0,9100.0,175329.0,37.0,1835.0,739000.0,133000.0,180.0,26000.0,20800.0,800.0,5430000.0,86880.0,16.0,24462.0,363392.42,14855.4,67999.0,646000.0,9500.1,20000.0,280000.0,14000.0,13176.5,598122.35,61853.350000000006,2139000.0,2623000.0,1226.3,0.0,452602.0,1334.0,2.8605662653383247e-05,10109.2970475432,3.92498381999467e-06,0.00038173323802844,2.745075136546915e-05,26.4186641547444,5.63027314483382e-05,13.402,35.109,69.011,14.091,6.141,20929.119,26482.622,13131.734,13350.888,6364.912,0.0,21.2121323521857,4.5536044478174e-07,33.8,61.428,57.984,59.708,2.18654618162979,0.8,7.878,23.32,0.0,0.0,0.0,0.158555,0.010692,0.129485,2.765806,1.1402,0.0,0.303903,0.0,37.966673,1.942528,430.215814,0.681919,65.166628,1.837318,0.907526,0.126076,2.63027,2.518025,10.095016,0.0,0.0,132.001893,105.63315,18.203091,200.336587,5.914575,0.0,0.0,0.0,0.0,2.031605,0.3337,367.931123,0.0,0.410847,264.316383,489.138256,0.0,0.0,36.721775,98.096479,2.198097,29.059496,0.0,1.920626,2.13174,18.693142
AFG,2009,267000.0,486000.0,1820.2,8700.0,176169.0,39.0,1929.0,750000.0,135000.0,180.0,25000.0,20000.0,800.0,6230000.0,99680.0,16.0,23128.0,336577.78,14552.5,72200.0,686000.0,9501.4,21600.0,302400.0,14000.0,13176.5,598122.35,61853.350000000006,2575000.0,5064000.0,1966.6,29243.0,62521.0,101.0,2.8605662653383247e-05,12416.1527320567,2.13905283926492e-05,0.000452053705477043,2.745075136546915e-05,0.0,5.63027314483382e-05,13.694,35.109,69.011,14.091,6.141,21415.593,27466.1,13612.943,13853.157,6588.738,2.23601941932175e-06,20.0367248536922,4.5188914562189e-07,33.8,61.791,58.681,60.248,3.64638090813246,0.8,7.754,23.528,0.0,0.0,0.0,0.0,0.008462,1.214034,1.365903,2.500045,0.0,0.360566,0.315234,4.740677,3.590181,360.064397,0.764633,144.487116,0.0,0.210623,0.15364,1.784981,0.293669,15.78281,0.0,0.0,76.008986,106.161782,41.276586,177.26508,6.931153,0.004,0.0,0.0,0.124275,3.76893,0.701155,336.767162,0.0,0.266405,191.131851,307.468501,0.0,0.0,25.663266,197.918274,2.409891,44.113474,0.0,2.236484,17.314844,44.553575
AFG,2010,212000.0,437000.0,2061.3,8200.0,171612.0,40.0,1993.0,727800.0,131000.0,180.0,35000.0,28000.0,800.0,7100000.0,113000.0,16.0,21738.0,309763.13,14249.7,69147.0,660000.0,9544.9,20500.0,246000.0,12000.0,13176.5,598122.35,61853.350000000006,2354000.0,4532000.0,1925.2,0.0,45000.0,350.0,2.8605662653383247e-05,15856.6685558336,1.43624414710737e-05,0.000560621505463146,2.745075136546915e-05,2.17853752389419,5.63027314483382e-05,13.983,35.109,69.011,14.091,6.141,21966.187,28284.089,14011.779,14272.309,6836.98,0.0,15.3334973971382,1.20311798981139e-06,33.8,62.283,59.097,60.702,2.93468670173474,0.8,7.753,23.737,0.0,0.0,0.0,0.048376,0.648457,1.329447,0.839983,5.51735,0.0,1.237932,0.478863,35.302567,11.691878,703.845093,1.883784,422.289588,0.1278,2.446202,0.264195,3.753272,2.049947,31.797984,0.0,0.0,65.357645,112.907128,31.730468,386.411377,8.721384,0.026152,0.0,0.0,0.549969,9.647145,0.307797,494.368703,0.0,0.375725,151.342943,597.502822,0.0,0.0,29.585442,181.394091,1.56623,53.694555,0.04585,18.50518,3.661498,78.480105
AFG,2011,190000.0,305900.0,1610.0,9600.0,180705.0,36.0,1793.0,766700.0,138000.0,180.0,32000.0,25600.0,800.0,7220000.0,115000.0,16.0,20288.0,282948.48,13946.8,53718.0,480000.0,8935.6,20500.0,205000.0,10000.0,13176.5,598122.35,61853.350000000006,2232000.0,3388000.0,1517.9,198026.0,1753000.0,83.0,2.8605662653383247e-05,17805.0982063141,4.26354776777345e-07,0.000606694676337726,2.745075136546915e-05,11.8041858089129,5.63027314483382e-05,14.265,35.109,69.011,14.091,6.141,22594.126,29347.708,14532.542,14815.165,7114.473,0.0,13.9770517017747,2.9302517961680305e-07,33.8,62.852,59.625,61.25,3.69150308391849,0.8,7.784,23.948,0.0,0.0,0.0,0.475766,0.111502,1.30137,0.923526,4.051525,0.0,1.227446,0.882438,23.813159,5.872095,577.177968,1.525984,244.398439,0.0378,0.969605,0.166002,3.382209,1.71844,24.230407,0.0,0.0,70.437984,103.876928,19.533078,581.655193,15.424454,0.049121,0.0,0.0,1.463719,4.443013,0.2754,411.827185,0.0,0.608207,180.649605,877.754493,0.0,0.0,33.033623,804.167856,1.274107,50.975773,0.810614,4.647622,3.540351,90.619835
AFG,2013,278000.0,514000.0,1848.9,9500.0,189000.0,38.0,1895.0,744500.0,134000.0,180.0,33000.0,26400.0,800.0,6625000.0,106000.0,16.0,16821.0,230266.95,13688.9,62000.0,560000.0,9032.3,22960.0,302980.0,13196.0,13176.5,598122.35,61853.350000000006,2552922.0,5169235.0,2024.8,0.0,21485.0,155.0,2.8605662653383247e-05,20146.4167575987,5.60074465863221e-06,0.000637087099117099,2.745075136546915e-05,7.38577178397855,5.63027314483382e-05,15.361,35.109,69.011,14.091,6.141,23997.856,31622.704,15647.752,15974.952,7733.832,0.0,12.8048363659593,2.3980118440555103e-07,33.8,63.814,60.534,62.188,3.41822667584596,0.8,7.93,24.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.277023,136.251991,9.180431,170.779239,0.0,0.0,0.0,0.0,0.0,0.290986,0.0,0.0,102.957814,43.729538,42.731928,715.151592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.925968,0.0,0.0,198.351743,889.14819,0.0,0.0,0.0,0.0,0.459258,0.0,0.0,0.0,0.0,0.0
AFG,2014,342472.0,521000.0,1521.3,9500.0,194250.0,39.0,1947.0,669717.0,120544.58,180.0,31012.0,24809.32,800.0,6844995.0,109407.15,16.0,14300.0,197822.0,13833.7,85662.0,775899.62,9057.7,25009.0,340257.0,13605.4,13176.5,598122.35,61853.350000000006,2653746.0,5370259.0,2023.7,3975.0,140020.0,575.0,2.8605662653383247e-05,20497.1285556972,2.72454336219565e-06,0.0006250549418139379,2.745075136546915e-05,4.67399603536345,5.63027314483382e-05,16.239,25.528,61.328,14.091,6.141,24703.798,32792.523,16221.843,16570.68,8054.222,0.0,12.3049882693651,2.09664794672203e-07,33.8,64.009,60.495,62.26,3.63251884652008,0.8,7.915,24.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.452716,1038.198468,17.045181,53.230942,0.0,0.0,0.0,0.0,0.0,6.095647,0.0,0.0,159.979715,107.664176,33.351524,1497.07974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.847983,0.0,0.0,188.424057,1327.930936,0.0,0.0,0.0,0.0,0.506019,0.0,0.0,0.0,0.0,0.0
AFG,2015,282000.0,403000.0,1429.1,9336.0,208246.505,42.0,2124.0,619065.0,111438.28,180.0,30698.0,24558.74,800.0,6721936.0,107400.34,16.0,14300.0,197851.0,13835.7,89246.0,810613.88,9082.9,25019.0,327507.0,13090.3,13176.5,598122.35,61853.350000000006,2128104.0,4673040.0,2195.9,3970.0,26575.0,446.0,2.8605662653383247e-05,19134.221644732497,1.45131466066431e-06,0.000565569730408751,2.745075136546915e-05,0.0,5.63027314483382e-05,16.893,25.528,61.328,14.091,6.141,25368.923,33831.764,16732.244,17099.52,8367.571,0.0,13.4908301094464,8.840004633612299e-07,33.8,64.178,60.363,62.27,3.11995924146907,0.8,9.052,24.803,0.0,0.0,0.0,0.087416,1.29626,1.259046,0.354154,1.234531,0.6187,3.235225,0.771752,2.576338,10.150949,1043.998238,5.677441,30.984392,0.333566,2.386756,0.250837,9.766762,0.516828,7.781987,0.0,0.0,188.869645,130.617617,29.162373,1807.982227,17.021113,0.439596,0.0,0.003874,2.381828,4.770988,0.011685,292.077367,0.001328,1.036644,226.56866,1346.407628,0.0,0.084825,18.50831,157.408449,0.909866,9.561588,0.281472,4.753543,2.71002,251.533851
AFG,2016,219208.0,301856.0,1377.0,9361.0,208779.37,42.0,2124.0,671906.0,107532.88,160.0,30372.0,24297.68,800.0,6740686.0,107668.49,16.0,13335.0,141649.0,10622.3,145980.0,1324882.6,9075.8,35699.0,427917.0,11986.8,13176.5,598122.35,61853.350000000006,2300210.0,4555110.0,1980.3,0.0,0.0,84.0,2.8605662653383247e-05,18116.5723950772,2.26031420279821e-06,0.0005220822155838981,2.745075136546915e-05,4.38389195513915,5.63027314483382e-05,17.569,25.528,61.328,14.091,6.141,25985.093,34700.612,17159.297,17541.316,8670.939,0.0,14.1470450360055,5.166060845230929e-07,33.8,64.64,60.661,62.646,2.53571991833963,0.8,10.133,25.02,0.0,0.0,0.0,0.079799,0.455832,5.554109,1.231243,1.008152,0.177188,2.92968,0.609003,6.702967,4.754161,1092.707519,4.405604,29.431042,0.046083,1.852642,1.408046,5.401786,1.6898,7.995003,0.0,0.0,230.037526,152.876873,18.822947,1265.139067,11.18477,0.0,0.0,0.000251,0.136779,5.42133,0.083282,248.690628,0.0,2.177939,283.316886,1198.759334,0.01341,0.282616,3.486361,138.792029,1.138002,9.820457,0.043348,3.395513,1.312089,73.432839
AFG,2017,68179.0,94995.0,1393.3,10688.0,210000.0,37.0,1871.0,657632.0,115754.24,176.0,34547.0,27637.84,800.0,7046922.0,112540.74,16.0,17721.0,212000.0,11963.2,78255.0,712123.7,9100.0,32116.0,513194.0,15979.4,13176.5,598122.35,61853.350000000006,2104377.0,4280776.0,2034.2,0.0,9545.0,226.0,2.8605662653383247e-05,18753.4564978159,2.6470032027451e-06,0.000525469770891619,2.745075136546915e-05,4.97595150553833,5.63027314483382e-05,18.262,15.599,49.036,24.023,10.858,26558.609,35688.935,17649.936,18038.999,8971.472,0.0,14.5133427404056,2.74796791572807e-07,33.8,65.606,59.388,62.406,2.80833730805469,0.8,11.184,25.25,0.0,0.0,0.0,0.16763433,0.6004151600000001,12.2246068,0.06818492999999999,14.092179609999999,0.01010801,4.25279913,1.71790225,20.03397546,11.71147565,1179.297873,4.8654218700000005,61.24929033,0.09035167,2.63143948,0.5130647199999999,6.66427431,0.870069,6.68866111,0.0,0.00889741,356.1395281,258.8385616,18.11275866,1212.563808,14.563223429999999,0.09050177000000001,0.0,0.13353183,0.4166416,6.23878388,0.07937096,437.4149358,0.0,0.5538133199999999,357.2012969,1293.224714,0.0,0.16679369,1.49294061,192.777108,5.90417983,3.88459308,0.08675242999999999,7.74361849,2.4890357799999996,60.64875883
AFG,2018,84147.0,56781.0,674.8,9800.0,218083.435,42.0,2119.0,633151.0,96126.71,152.0,32655.0,29315.76,898.0,6836515.0,110000.0,16.0,10551.0,162761.32,15426.2,81453.0,742888.49,9120.5,32400.0,615684.0,19002.6,13176.5,598122.35,61853.350000000006,1635000.0,3613300.0,2210.0,0.0,13504000.0,113.0,2.8605662653383247e-05,18053.222687412603,1.18922812944517e-06,0.000491337221382603,2.745075136546915e-05,0.626149149168847,5.63027314483382e-05,16.879,15.599,49.036,24.023,10.858,27099.874,36743.039,18178.417,18564.622,9273.302,0.0,14.6424246657516,6.61572217787196e-07,33.8,65.942,59.175,62.443,2.91080959861384,0.8,11.196,25.495,0.0,0.0,0.0,0.21232576,0.76475179,10.98477456,0.02571745,11.18104663,0.0,6.27878938,1.32198198,10.18201121,28.41008468,1165.931752,5.58471858,65.54524385,0.051750199999999996,2.7281417400000003,0.53839263,7.40689276,1.6939731299999998,4.65485864,0.0,0.17393628,359.4696499,354.2821402,20.26921536,1264.167476,13.19007973,0.010189469999999999,0.0,0.00533233,0.27991822,9.1679603,0.16288895,414.02468239999996,0.0,0.46061590999999996,379.1089533,1086.851108,0.013304680000000001,0.04145821,1.66568522,157.6970236,6.604192139999999,5.259515889999999,0.10747224000000001,5.32785974,1.77746421,55.02763297
