ISO3,Year,Barley_Area_harvested,Barley_Production,Barley_Yield,"Hen_eggs_in_shell,_fresh_Laying","Hen_eggs_in_shell,_fresh_Production","Hen_eggs_in_shell,_fresh_Yield","Hen_eggs_in_shell,_fresh_Yield/Carcass_Weight","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Production","Meat_of_cattle_with_the_bone,_fresh_or_chilled_Yield/Carcass_Weight","Meat_of_chickens,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_chickens,_fresh_or_chilled_Production","Meat_of_chickens,_fresh_or_chilled_Yield/Carcass_Weight","Meat_of_sheep,_fresh_or_chilled_Producing_Animals/Slaughtered","Meat_of_sheep,_fresh_or_chilled_Production","Meat_of_sheep,_fresh_or_chilled_Yield/Carcass_Weight","Onions_and_shallots,_dry_(excluding_dehydrated)_Area_harvested","Onions_and_shallots,_dry_(excluding_dehydrated)_Production","Onions_and_shallots,_dry_(excluding_dehydrated)_Yield","Other_vegetables,_fresh_n.e.c._Area_harvested","Other_vegetables,_fresh_n.e.c._Production","Other_vegetables,_fresh_n.e.c._Yield",Potatoes_Area_harvested,Potatoes_Production,Potatoes_Yield,Tomatoes_Area_harvested,Tomatoes_Production,Tomatoes_Yield,Wheat_Area_harvested,Wheat_Production,Wheat_Yield,"Total Damage, Adjusted ('000 US$)",No. Affected,Total Deaths,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)",Rural_population,Total_Population_Both_sexes,Total_Population_Female,Total_Population_Male,Urban_population,Current_account_balance_(%_of_GDP),External_debt_stocks_(%_of_GNI),"Foreign_direct_investment,_net_inflows_(%_of_GDP)",Gini_index,"Life_expectancy_at_birth,_female_(years)","Life_expectancy_at_birth,_male_(years)","Life_expectancy_at_birth,_total_(years)",Population_growth_(annual_%),Poverty_headcount_ratio_at_$3.00_a_day_(2021_PPP)_(%_of_population),"Unemployment,_total_(%_of_total_labor_force)_(modeled_ILO_estimate)",Urban_population_(%_of_total_population),AFG_Export,AFG_Import,ARG_Export,ARG_Import,AUS_Export,AUS_Import,BEL_Export,BEL_Import,BGD_Export,BGD_Import,CAN_Export,CAN_Import,CHN_Export,CHN_Import,DEU_Export,DEU_Import,ESP_Export,ESP_Import,FRA_Export,FRA_Import,GBR_Export,GBR_Import,HRV_Export,HRV_Import,IND_Export,IND_Import,IRN_Export,IRN_Import,IRQ_Export,IRQ_Import,ISR_Export,ISR_Import,ITA_Export,ITA_Import,JPN_Export,JPN_Import,LKA_Export,LKA_Import,PAK_Export,PAK_Import,PRT_Export,PRT_Import,RUS_Export,RUS_Import,SAU_Export,SAU_Import,SWE_Export,SWE_Import,USA_Export,USA_Import
AFG,2008,236000.0,333000.0,1411.0,9100.0,175329.0,37.0,1835.0,739000.0,133000.0,180.0,26000.0,20800.0,800.0,5430000.0,86880.0,16.0,24462.0,363392.42,14855.4,67999.0,646000.0,9500.1,20000.0,280000.0,14000.0,,,,2139000.0,2623000.0,1226.3,0.0,452602.0,1334.0,,10109297047.5432,3.92498381999467,381.73323802844,,26.4186641547444,,13.402,35.109,69.011,,,20929.119,26482.622,13131.734,13350.888,6364.912,-2.35799044700136,21.2121323521857,0.45536044478174,,61.428,57.984,59.708,2.18654618162979,,7.878,23.32,0.0,0.0,0.0,158555.0,10692.0,129485.0,2765806.0,1140200.0,0.0,303903.0,0.0,37966673.0,1942528.0,430215814.0,681919.0,65166628.0,1837318.0,907526.0,126076.0,2630270.0,2518025.0,10095016.0,0.0,0.0,132001893.0,105633150.0,18203091.0,200336587.0,5914575.0,0.0,0.0,0.0,0.0,2031605.0,333700.0,367931123.0,0.0,410847.0,264316383.0,489138256.0,0.0,0.0,36721775.0,98096479.0,2198097.0,29059496.0,0.0,1920626.0,2131740.0,18693142.0
AFG,2009,267000.0,486000.0,1820.2,8700.0,176169.0,39.0,1929.0,750000.0,135000.0,180.0,25000.0,20000.0,800.0,6230000.0,99680.0,16.0,23128.0,336577.78,14552.5,72200.0,686000.0,9501.4,21600.0,302400.0,14000.0,,,,2575000.0,5064000.0,1966.6,29243.0,62521.0,101.0,,12416152732.0567,21.3905283926492,452.053705477043,,-6.81116108898996,,13.694,,,,,21415.593,27466.1,13612.943,13853.157,6588.738,2.23601941932175,20.0367248536922,0.45188914562189,,61.791,58.681,60.248,3.64638090813246,,7.754,23.528,0.0,0.0,0.0,0.0,8462.0,1214034.0,1365903.0,2500045.0,0.0,360566.0,315234.0,4740677.0,3590181.0,360064397.0,764633.0,144487116.0,0.0,210623.0,153640.0,1784981.0,293669.0,15782810.0,0.0,0.0,76008986.0,106161782.0,41276586.0,177265080.0,6931153.0,4000.0,0.0,0.0,124275.0,3768930.0,701155.0,336767162.0,0.0,266405.0,191131851.0,307468501.0,0.0,0.0,25663266.0,197918274.0,2409891.0,44113474.0,0.0,2236484.0,17314844.0,44553575.0
AFG,2010,212000.0,437000.0,2061.3,8200.0,171612.0,40.0,1993.0,727800.0,131000.0,180.0,35000.0,28000.0,800.0,7100000.0,113000.0,16.0,21738.0,309763.13,14249.7,69147.0,660000.0,9544.9,20500.0,246000.0,12000.0,,,,2354000.0,4532000.0,1925.2,0.0,45000.0,350.0,,15856668555.8336,14.3624414710737,560.621505463146,,2.17853752389419,,13.983,,,,,21966.187,28284.089,14011.779,14272.309,6836.98,-3.64331388234628,15.3334973971382,1.20311798981139,,62.283,59.097,60.702,2.93468670173474,,7.753,23.737,0.0,0.0,0.0,48376.0,648457.0,1329447.0,839983.0,5517350.0,0.0,1237932.0,478863.0,35302567.0,11691878.0,703845093.0,1883784.0,422289588.0,127800.0,2446202.0,264195.0,3753272.0,2049947.0,31797984.0,0.0,0.0,65357645.0,112907128.0,31730468.0,386411377.0,8721384.0,26152.0,0.0,0.0,549969.0,9647145.0,307797.0,494368703.0,0.0,375725.0,151342943.0,597502822.0,0.0,0.0,29585442.0,181394091.0,1566230.0,53694555.0,45850.0,18505180.0,3661498.0,78480105.0
AFG,2011,190000.0,305900.0,1610.0,9600.0,180705.0,36.0,1793.0,766700.0,138000.0,180.0,32000.0,25600.0,800.0,7220000.0,115000.0,16.0,20288.0,282948.48,13946.8,53718.0,480000.0,8935.6,20500.0,205000.0,10000.0,,,,2232000.0,3388000.0,1517.9,198026.0,1753000.0,83.0,,17805098206.3141,0.426354776777345,606.694676337726,,11.8041858089129,,14.265,,,,,22594.126,29347.708,14532.542,14815.165,7114.473,-12.6195382087159,13.9770517017747,0.293025179616803,,62.852,59.625,61.25,3.69150308391849,,7.784,23.948,0.0,0.0,0.0,475766.0,111502.0,1301370.0,923526.0,4051525.0,0.0,1227446.0,882438.0,23813159.0,5872095.0,577177968.0,1525984.0,244398439.0,37800.0,969605.0,166002.0,3382209.0,1718440.0,24230407.0,0.0,0.0,70437984.0,103876928.0,19533078.0,581655193.0,15424454.0,49121.0,0.0,0.0,1463719.0,4443013.0,275400.0,411827185.0,0.0,608207.0,180649605.0,877754493.0,0.0,0.0,33033623.0,804167856.0,1274107.0,50975773.0,810614.0,4647622.0,3540351.0,90619835.0
AFG,2013,278000.0,514000.0,1848.9,9500.0,189000.0,38.0,1895.0,744500.0,134000.0,180.0,33000.0,26400.0,800.0,6625000.0,106000.0,16.0,16821.0,230266.95,13688.9,62000.0,560000.0,9032.3,22960.0,302980.0,13196.0,,,,2552922.0,5169235.0,2024.8,0.0,21485.0,155.0,,20146416757.5987,5.60074465863221,637.087099117099,,7.38577178397855,,15.361,,,,,23997.856,31622.704,15647.752,15974.952,7733.832,-25.290058564309,12.8048363659593,0.239801184405551,,63.814,60.534,62.188,3.41822667584596,,7.93,24.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20277023.0,136251991.0,9180431.0,170779239.0,0.0,0.0,0.0,0.0,0.0,290986.0,0.0,0.0,102957814.0,43729538.0,42731928.0,715151592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25925968.0,0.0,0.0,198351743.0,889148190.0,0.0,0.0,0.0,0.0,459258.0,0.0,0.0,0.0,0.0,0.0
AFG,2014,342472.0,521000.0,1521.3,9500.0,194250.0,39.0,1947.0,669717.0,120544.58,180.0,31012.0,24809.32,800.0,6844995.0,109407.15,16.0,14300.0,197822.0,13833.7,85662.0,775899.62,9057.7,25009.0,340257.0,13605.4,,,,2653746.0,5370259.0,2023.7,3975.0,140020.0,575.0,,20497128555.6972,2.72454336219565,625.054941813938,,4.67399603536345,,16.239,25.528,61.328,14.091,6.141,24703.798,32792.523,16221.843,16570.68,8054.222,-15.7724198274304,12.3049882693651,0.209664794672203,,64.009,60.495,62.26,3.63251884652008,,7.915,24.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15452716.0,1038198468.0,17045181.0,53230942.0,0.0,0.0,0.0,0.0,0.0,6095647.0,0.0,0.0,159979715.0,107664176.0,33351524.0,1497079740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258847983.0,0.0,0.0,188424057.0,1327930936.0,0.0,0.0,0.0,0.0,506019.0,0.0,0.0,0.0,0.0,0.0
AFG,2015,282000.0,403000.0,1429.1,9336.0,208246.505,42.0,2124.0,619065.0,111438.28,180.0,30698.0,24558.74,800.0,6721936.0,107400.34,16.0,14300.0,197851.0,13835.7,89246.0,810613.88,9082.9,25019.0,327507.0,13090.3,,,,2128104.0,4673040.0,2195.9,3970.0,26575.0,446.0,,19134221644.7325,1.45131466066431,565.569730408751,,-0.661709164713742,,16.893,,,,,25368.923,33831.764,16732.244,17099.52,8367.571,-21.9126573355151,13.4908301094464,0.88400046336123,,64.178,60.363,62.27,3.11995924146907,,9.052,24.803,0.0,0.0,0.0,87416.0,1296260.0,1259046.0,354154.0,1234531.0,618700.0,3235225.0,771752.0,2576338.0,10150949.0,1043998238.0,5677441.0,30984392.0,333566.0,2386756.0,250837.0,9766762.0,516828.0,7781987.0,0.0,0.0,188869645.0,130617617.0,29162373.0,1807982227.0,17021113.0,439596.0,0.0,3874.0,2381828.0,4770988.0,11685.0,292077367.0,1328.0,1036644.0,226568660.0,1346407628.0,0.0,84825.0,18508310.0,157408449.0,909866.0,9561588.0,281472.0,4753543.0,2710020.0,251533851.0
AFG,2016,219208.0,301856.0,1377.0,9361.0,208779.37,42.0,2124.0,671906.0,107532.88,160.0,30372.0,24297.68,800.0,6740686.0,107668.49,16.0,13335.0,141649.0,10622.3,145980.0,1324882.6,9075.8,35699.0,427917.0,11986.8,,,,2300210.0,4555110.0,1980.3,0.0,0.0,84.0,,18116572395.0772,2.26031420279821,522.082215583898,,4.38389195513915,,17.569,,,,,25985.093,34700.612,17159.297,17541.316,8670.939,-14.9501951919169,14.1470450360055,0.516606084523093,,64.64,60.661,62.646,2.53571991833963,,10.133,25.02,0.0,0.0,0.0,79799.0,455832.0,5554109.0,1231243.0,1008152.0,177188.0,2929680.0,609003.0,6702967.0,4754161.0,1092707519.0,4405604.0,29431042.0,46083.0,1852642.0,1408046.0,5401786.0,1689800.0,7995003.0,0.0,0.0,230037526.0,152876873.0,18822947.0,1265139067.0,11184770.0,0.0,0.0,251.0,136779.0,5421330.0,83282.0,248690628.0,0.0,2177939.0,283316886.0,1198759334.0,13410.0,282616.0,3486361.0,138792029.0,1138002.0,9820457.0,43348.0,3395513.0,1312089.0,73432839.0
AFG,2017,68179.0,94995.0,1393.3,10688.0,210000.0,37.0,1871.0,657632.0,115754.24,176.0,34547.0,27637.84,800.0,7046922.0,112540.74,16.0,17721.0,212000.0,11963.2,78255.0,712123.7,9100.0,32116.0,513194.0,15979.4,,,,2104377.0,4280776.0,2034.2,0.0,9545.0,226.0,,18753456497.8159,2.6470032027451,525.469770891619,,4.97595150553833,,18.262,15.599,49.036,24.023,10.858,26558.609,35688.935,17649.936,18038.999,8971.472,-18.9559612272258,14.5133427404056,0.274796791572807,,65.606,59.388,62.406,2.80833730805469,,11.184,25.25,0.0,0.0,0.0,167634.33,600415.16,12224606.8,68184.93,14092179.61,10108.01,4252799.13,1717902.25,20033975.46,11711475.65,1179297873.0,4865421.87,61249290.33,90351.67,2631439.48,513064.72,6664274.31,870069.0,6688661.11,0.0,8897.41,356139528.1,258838561.6,18112758.66,1212563808.0,14563223.43,90501.77,0.0,133531.83,416641.6,6238783.88,79370.96,437414935.8,0.0,553813.32,357201296.9,1293224714.0,0.0,166793.69,1492940.61,192777108.0,5904179.83,3884593.08,86752.43,7743618.49,2489035.78,60648758.83
AFG,2018,84147.0,56781.0,674.8,9800.0,218083.435,42.0,2119.0,633151.0,96126.71,152.0,32655.0,29315.76,898.0,6836515.0,110000.0,16.0,10551.0,162761.32,15426.2,81453.0,742888.49,9120.5,32400.0,615684.0,19002.6,,,,1635000.0,3613300.0,2210.0,0.0,13504000.0,113.0,,18053222687.4126,1.18922812944517,491.337221382603,,0.626149149168847,,16.879,,,,,27099.874,36743.039,18178.417,18564.622,9273.302,-21.5852741164653,14.6424246657516,0.661572217787196,,65.942,59.175,62.443,2.91080959861384,,11.196,25.495,0.0,0.0,0.0,212325.76,764751.79,10984774.56,25717.45,11181046.63,0.0,6278789.38,1321981.98,10182011.21,28410084.68,1165931752.0,5584718.58,65545243.85,51750.2,2728141.74,538392.63,7406892.76,1693973.13,4654858.64,0.0,173936.28,359469649.9,354282140.2,20269215.36,1264167476.0,13190079.73,10189.47,0.0,5332.33,279918.22,9167960.3,162888.95,414024682.4,0.0,460615.91,379108953.3,1086851108.0,13304.68,41458.21,1665685.22,157697023.6,6604192.14,5259515.89,107472.24,5327859.74,1777464.21,55027632.97
