ISO3,Year,gdp_growth_2030,poverty_2030,resilience_2030,scenario
AFG,2030,3.913274705118865e-06,0.8000000000000078,-0.37416083664648736,baseline
ARG,2030,1.0628397053506692e-09,1.2010833333333406,-0.0498530002176823,baseline
AUS,2030,3.5036794247272467e-06,0.5000833333333333,0.7183876527313383,baseline
BEL,2030,1.1704923827520786e-06,0.0,1.5413785672871212,baseline
BGD,2030,6.5403001032251125e-06,25.329891269841436,-0.3280655439595194,baseline
CAN,2030,1.5257456394298903e-06,0.20000000000000195,0.7853776409171351,baseline
CHN,2030,5.4372608916526805e-06,0.0,1.0729593398291222,baseline
DEU,2030,1.1890477588628886e-09,0.20000000000000195,1.6791328044495673,baseline
ESP,2030,2.675896812524842e-06,0.8000000000000078,0.9764153773435102,baseline
FRA,2030,9.445851688365979e-07,0.10000000000000098,1.496295177479597,baseline
GBR,2030,3.960499170168503e-07,0.5000833333333333,1.2658054043301834,baseline
HRV,2030,3.3078727080688017e-06,0.4000000000000039,0.2818761100318254,baseline
IND,2030,9.20660271704423e-06,5.062624206349213,-0.13898622405951636,baseline
IRN,2030,3.783245611423389e-06,2.7964066137566244,-0.5063718443470574,baseline
IRQ,2030,1.500082242549832e-05,0.8000000000000078,-0.2702879581940306,baseline
ISR,2030,1.8102681603461243e-06,0.6999999999999927,0.8944183712748662,baseline
ITA,2030,7.171223873781854e-07,0.6999999999999927,1.0500045440056098,baseline
JPN,2030,1.467334130645429e-06,1.201166666666674,0.1271325788379867,baseline
LKA,2030,1.0628397053506692e-09,2.7095752645502786,-0.1405398607471662,baseline
PAK,2030,1.0628397053506692e-09,16.316415079365083,-0.43725882629037244,baseline
PRT,2030,2.6062780740784977e-06,0.20000000000000195,0.4922720644709523,baseline
RUS,2030,5.8513494915274045e-06,0.20000000000000195,0.6127869284810734,baseline
SAU,2030,5.229775978132661e-07,0.8000000000000078,0.5797457776121174,baseline
SWE,2030,1.1890477588628886e-09,1.3010222222222148,0.891918777546857,baseline
USA,2030,2.8849899075901035e-06,1.204701388888895,0.7916451303501859,baseline
AFG,2030,1.575615223955071e-05,0.6999999999999927,-0.3746613486792572,social_spending
ARG,2030,1.5174887000850281e-05,1.100166666666679,-0.05039918105560887,social_spending
AUS,2030,1.5163354751869277e-05,0.5000833333333333,0.7183876527313384,social_spending
BEL,2030,1.4833054701569968e-05,0.0,1.540680376720572,social_spending
BGD,2030,1.5170531765424331e-05,21.463075992063565,-0.3276684587813622,social_spending
CAN,2030,1.5019712818319509e-05,0.20000000000000195,0.7854649537992772,social_spending
CHN,2030,1.5005469643527914e-05,0.0,1.0729107155406972,social_spending
DEU,2030,1.48479174879659e-05,0.20000000000000195,1.6790514853627931,social_spending
ESP,2030,1.4921380918812756e-05,0.6999999999999927,0.9763299883492031,social_spending
FRA,2030,1.4838692916622903e-05,0.10000000000000098,1.4953081326616706,social_spending
GBR,2030,1.4860128319638301e-05,0.5000833333333333,1.265183374873239,social_spending
